date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30 13:55:00,50.2,50.23,50.18,50.21,111500.0,50.194,50.208,50.1742,0.0556,0.0121,61.9507,0.0928,50.1739,-1.41,-5.09
2020-01-30 13:50:00,50.2,50.24,50.18,50.21,127200.0,50.188,50.21,50.1713,0.0379,0.0115,67.1595,0.0951,50.1712,-1.48,-5.04
2020-01-30 13:45:00,50.23,50.25,50.2,50.21,117700.0,50.176,50.212,50.168,-0.0398,0.0106,78.6929,0.097,50.1682,-1.4816,-4.96
2020-01-30 13:40:00,50.2,50.25,50.2,50.23,98800.0,50.154,50.206,50.1665,-0.0398,0.0062,88.2369,0.0994,50.1616,-1.66,-4.99
2020-01-30 13:35:00,50.21,50.26,50.2,50.2,168200.0,50.141,50.196,50.1692,-0.0796,0.0036,76.3995,0.102,50.1576,-1.6021,-4.94
2020-01-30 13:30:00,50.21,50.26,50.2,50.21,98500.0,50.132,50.18,50.167,-0.0597,-0.0008,76.101,0.1042,50.1521,-1.481,-4.82
2020-01-30 13:25:00,50.21,50.25,50.18,50.22,136100.0,50.119,50.166,50.1658,0.0797,-0.0064,64.7286,0.1066,50.146,-1.23,-4.76
2020-01-30 13:20:00,50.2,50.23,50.17,50.21,149100.0,50.1112,50.14,50.1622,0.0598,-0.0134,47.7754,0.1085,50.1393,-1.13,-4.75
2020-01-30 13:15:00,50.15,50.25,50.14,50.2,441000.0,50.1002,50.102,50.1595,0.0,-0.0212,40.5188,0.111,50.1329,-1.28,-4.8
2020-01-30 13:10:00,50.13,50.19,50.12,50.16,101800.0,50.1032,50.086,50.1567,-0.0996,-0.0258,-6.7617,0.1111,50.1311,-1.2919,-4.81
2020-01-30 13:05:00,50.14,50.15,50.1,50.14,114600.0,50.1072,50.084,50.1541,0.0199,-0.0292,-40.1222,0.1133,50.1312,-1.2516,-4.82
2020-01-30 13:00:00,50.08,50.19,50.07,50.14,212061.0,50.1104,50.072,50.1669,-0.0399,-0.0341,-40.3507,0.1166,50.1302,-1.2719,-4.88
2020-01-30 12:55:00,50.01,50.09,50.01,50.07,70100.0,50.1205,50.0823,50.1814,-0.299,-0.0338,-135.7448,0.1164,50.1355,-1.3221,-4.92
2020-01-30 12:50:00,50.07,50.16,50.01,50.01,507400.0,50.1445,50.0983,50.1971,-0.0399,-0.0258,-147.2815,0.1183,50.1487,-1.48,-4.86
2020-01-30 12:45:00,50.12,50.13,50.04,50.07,171600.0,50.1595,50.1203,50.2134,-0.0997,-0.0213,-148.5762,0.1167,50.157,-1.66,-4.79
2020-01-30 12:40:00,50.08,50.13,50.08,50.1,1077600.0,50.1725,50.1303,50.2281,-0.0798,-0.0203,-123.5332,0.1181,50.1609,-1.86,-4.77
2020-01-30 12:35:00,50.1316,50.1992,50.0691,50.0916,181005.0,50.1885,50.1487,50.2431,0.2031,-0.0147,-116.9223,0.1216,50.1695,-1.8284,-4.7984
2020-01-30 12:30:00,50.09,50.14,50.05,50.14,84900.0,50.1923,50.1586,50.2553,0.0799,-0.0126,-132.8704,0.1212,50.1734,-1.86,-4.83
2020-01-30 12:25:00,50.18,50.18,50.08,50.09,149800.0,50.2003,50.1906,50.2681,0.3199,-0.0055,-107.8868,0.1228,50.1822,-1.65,-4.72
2020-01-30 12:20:00,50.17,50.21,50.16,50.17,201000.0,50.1973,50.1986,50.2791,0.1597,-0.0055,2.7541,0.124,50.1825,-1.6616,-4.68
2020-01-30 12:15:00,50.1721,50.2483,50.1682,50.1821,123386.0,50.1983,50.2146,50.2916,0.0441,-0.0044,34.9132,0.1279,50.1838,-1.6879,-4.7579
2020-01-30 12:10:00,50.181,50.3096,50.1695,50.181,148161.0,50.1941,50.2282,50.3039,0.0199,-0.0032,63.4323,0.1305,50.185,-1.759,-4.779
2020-01-30 12:05:00,50.25,50.28,50.17,50.19,93600.0,50.186,50.226,50.3155,0.3395,-0.0025,60.9895,0.13,50.1854,-1.7821,-4.59
2020-01-30 12:00:00,50.22,50.29,50.21,50.25,75409.0,50.177,50.21,50.3259,0.0997,-0.0086,115.3494,0.131,50.1786,-1.631,-4.56
2020-01-30 11:55:00,50.25,50.33,50.2,50.23,259679.0,50.164,50.196,50.3364,0.0398,-0.0132,134.9552,0.1337,50.1743,-1.66,-4.58
2020-01-30 11:50:00,50.24,50.29,50.2,50.26,166600.0,50.156,50.182,50.3469,-0.2383,-0.0219,144.7198,0.1339,50.1663,-1.49,-4.62
2020-01-30 11:45:00,50.17,50.27,50.16,50.25,86900.0,50.144,50.16,50.3564,-0.0797,-0.0317,105.181,0.1362,50.1585,-1.5217,-4.69
2020-01-30 11:40:00,50.17,50.26,50.15,50.18,80100.0,50.13,50.146,50.3659,-0.1393,-0.0366,49.2983,0.1376,50.1573,-1.23,-4.77
2020-01-30 11:35:00,50.15,50.25,50.15,50.17,64600.0,50.118,50.144,50.3759,-0.199,-0.0424,37.19,0.139,50.156,-1.1108,-4.79
2020-01-30 11:30:00,50.18,50.26,50.15,50.17,78000.0,50.105,50.132,50.3867,-0.2584,-0.047,35.7148,0.1411,50.1566,-1.1516,-4.8
2020-01-30 11:25:00,50.13,50.25,50.12,50.19,94200.0,50.096,50.13,50.3986,-0.5357,-0.0554,20.1148,0.1427,50.1541,-1.32,-4.77
2020-01-30 11:20:00,50.1,50.18,50.1,50.17,135100.0,50.098,50.128,50.4109,-0.5781,-0.0601,-25.1559,0.1434,50.1567,-1.1,-4.81
2020-01-30 11:15:00,50.16,50.18,50.1,50.1,103000.0,50.1051,50.114,50.4241,-0.318,-0.0622,-51.3862,0.1467,50.1627,-0.64,-4.78
2020-01-30 11:10:00,50.09,50.32,50.09,50.18,202100.0,50.0971,50.092,50.4362,-0.3977,-0.0701,-5.5302,0.1502,50.1629,-0.75,-4.81
2020-01-30 11:05:00,50.17,50.18,50.09,50.09,151400.0,50.1051,50.078,50.4497,-0.2422,-0.0721,-61.4207,0.146,50.1706,-0.7,-4.75
2020-01-30 11:00:00,50.12,50.26,50.11,50.19,95013.0,50.1111,50.062,50.4624,-0.0399,-0.0817,-23.0674,0.1484,50.1707,-0.761,-4.81
2020-01-30 10:55:00,50.03,50.17,50.02,50.15,317300.0,50.1351,50.068,50.4759,-0.0998,-0.0876,-74.5741,0.1484,50.176,-0.87,-5.02
2020-01-30 10:50:00,50.05,50.12,50.02,50.09,166800.0,50.1531,50.0962,50.4906,-0.0639,-0.0838,-112.7065,0.1483,50.1924,-0.82,-4.9
2020-01-30 10:45:00,50.02,50.08,50.01,50.05,170800.0,50.1721,50.1022,50.5053,-0.299,-0.0807,-128.466,0.1508,50.2074,-0.92,-4.9
2020-01-30 10:40:00,50.09,50.13,50.0,50.03,257200.0,50.1951,50.1322,50.5201,-0.1396,-0.0726,-130.3039,0.1551,50.2272,-0.88,-4.74
2020-01-30 10:35:00,50.15,50.21,50.08,50.1,172400.0,50.2171,50.1602,50.5354,0.2399,-0.0682,-81.6571,0.1564,50.2416,-0.8018,-4.71
2020-01-30 10:30:00,50.171,50.2195,50.1094,50.151,176771.0,50.2421,50.2022,50.5508,0.342,-0.0678,-58.2398,0.1578,50.2512,-0.729,-4.6707
2020-01-30 10:25:00,50.08,50.21,50.07,50.18,98500.0,50.2641,50.21,50.5686,-0.1197,-0.0684,-54.1383,0.1603,50.2597,-0.85,-4.762
2020-01-30 10:20:00,50.17,50.21,50.07,50.08,308400.0,50.2881,50.242,50.5877,-0.3773,-0.059,-70.4909,0.1614,50.2786,-0.78,-4.66
2020-01-30 10:15:00,50.23,50.24,50.14,50.18,168700.0,50.3001,50.258,50.6059,0.2995,-0.0552,-29.4491,0.1625,50.29,-0.7321,-4.61
2020-01-30 10:10:00,50.36,50.37,50.23,50.23,85200.0,50.3063,50.274,50.6238,0.4388,-0.0557,31.6056,0.1658,50.2964,-0.67,-4.5
2020-01-30 10:05:00,50.21,50.41,50.2,50.37,309100.0,50.2843,50.282,50.6393,0.4363,-0.0687,70.1447,0.1671,50.2897,-0.79,-4.67
2020-01-30 10:00:00,50.24,50.27,50.21,50.21,91217.0,50.2713,50.3183,50.6565,0.3997,-0.0691,12.3069,0.1649,50.298,-0.75,-4.74
2020-01-30 09:55:00,50.25,50.28,50.21,50.25,118400.0,50.2555,50.3343,50.671,0.5382,-0.0716,27.6494,0.1704,50.3042,-0.71,-4.77
2020-01-30 09:50:00,50.31,50.38,50.24,50.25,125400.0,50.2475,50.3423,50.6863,0.6762,-0.0748,58.2366,0.1757,50.3099,-0.71,-4.73
2020-01-30 09:45:00,50.4,50.5,50.27,50.3,368400.0,50.2325,50.3386,50.7003,-1.0018,-0.0839,105.666,0.1776,50.3098,-0.63,-4.61
2020-01-30 09:40:00,50.3913,50.4689,50.2887,50.3913,131404.0,50.1955,50.2866,50.7122,-1.0966,-0.1035,75.2128,0.1748,50.3003,-0.5587,-4.6107
2020-01-30 09:35:00,50.32,50.62,50.32,50.4,507500.0,50.1564,50.2244,50.7256,-1.2365,-0.126,73.8734,0.1745,50.2908,-0.53,-4.54
2020-01-30 09:30:00,50.29,50.38,50.28,50.34,221425.0,50.1384,50.1768,50.7397,-1.4887,-0.1458,21.3321,0.1679,50.2877,-0.65,-4.56
2020-01-30 09:25:00,50.2918,50.4168,50.2667,50.2818,123950.0,50.1454,50.1528,50.75,-1.3886,-0.1658,6.898,0.1715,50.2874,-0.5182,-4.7082
2020-01-30 09:20:00,50.14,50.29,50.1,50.29,90700.0,50.1242,50.1264,50.759,-1.6514,-0.1891,-21.226,0.1726,50.287,-0.7,-4.8623
2020-01-30 09:15:00,50.08,50.23,50.08,50.16,161300.0,50.1242,50.1044,50.7718,-1.5336,-0.2006,-38.5418,0.1717,50.3025,-0.74,-4.9711
2020-01-30 09:10:00,50.082,50.178,50.0479,50.082,82376.0,50.1154,50.0884,50.7853,-1.5297,-0.2063,-51.32,0.1728,50.3259,-0.678,-4.928
2020-01-30 09:05:00,50.17,50.2,50.06,50.07,145400.0,50.1112,50.1,50.7998,-1.3179,-0.2107,-54.404,0.1751,50.3516,-0.67,-4.86
2020-01-30 09:00:00,50.16,50.19,50.1,50.17,101441.0,50.0923,50.138,50.8129,-1.4925,-0.2223,-52.4903,0.1769,50.3707,-0.66,-4.94
2020-01-30 08:55:00,50.03,50.18,50.02,50.18,123700.0,50.0735,50.122,50.8278,-1.7285,-0.2329,-62.007,0.1815,50.3928,-0.66,-5.06
2020-01-30 08:50:00,50.0,50.08,49.96,50.03,337400.0,50.1615,50.144,50.8451,-1.7296,-0.2297,-85.2969,0.1826,50.431,-0.7,-4.912
2020-01-30 08:45:00,50.14,50.2,49.97,49.99,170300.0,50.2565,50.1424,50.8601,-1.4381,-0.2193,-91.5466,0.1859,50.4764,-0.62,-5.1118
2020-01-30 08:40:00,50.36,50.38,50.11,50.13,257700.0,50.3375,50.1224,50.8758,-0.9636,-0.2171,-77.9759,0.1836,50.5118,-0.43,-5.0721
2020-01-30 08:35:00,50.08,50.38,50.07,50.38,323600.0,50.4065,50.0466,50.887,-1.5723,-0.2335,-76.2984,0.1791,50.5278,-0.721,-6.26
2020-01-30 08:30:00,50.14,50.17,50.03,50.06,198500.0,50.4985,50.025,50.9032,-1.3186,-0.2225,-127.2269,0.1716,50.5749,-0.74,-6.15
2020-01-30 08:25:00,49.9919,50.207,49.9468,50.1519,191461.0,50.5827,50.179,50.9187,-1.4744,-0.2113,-154.1301,0.1733,50.6207,-0.8881,-6.2181
2020-01-30 08:20:00,50.04,50.17,49.97,50.01,266700.0,50.6695,50.3706,50.9388,-1.4379,-0.1789,-216.8842,0.1687,50.6869,-0.85,-6.23
2020-01-30 08:15:00,49.981,50.2595,49.9693,50.081,296322.0,50.7515,50.5526,50.9623,-1.6122,-0.1399,-287.892,0.1671,50.755,-0.819,-6.279
2020-01-30 08:10:00,49.9721,50.0381,49.8479,49.9421,224043.0,50.8374,50.7664,50.9872,-1.8037,-0.082,-541.2509,0.1592,50.8365,-0.8779,-6.3179
2020-01-29 13:55:00,50.91,51.09,50.9,51.05,104033.0,50.9322,50.972,51.013,0.0786,-0.006,136.5909,0.1043,50.9275,-0.02,-5.38
2020-01-29 13:50:00,50.95,50.95,50.9,50.91,127600.0,50.9322,50.9864,51.0226,0.1179,-0.0044,41.1004,0.0998,50.9293,-0.1516,-5.35
2020-01-29 13:45:00,50.95,50.95,50.91,50.94,178100.0,50.9252,50.9684,51.0323,0.1179,-0.0064,63.1799,0.1024,50.9271,-0.15,-5.35
2020-01-29 13:40:00,51.05,51.05,50.91,50.95,84000.0,50.9173,50.9504,51.0415,0.2947,-0.0089,122.7187,0.1057,50.9247,-0.14,-5.25
2020-01-29 13:35:00,51.0,51.05,50.98,51.04,400900.0,50.8973,50.9084,51.0505,0.1374,-0.0221,224.724,0.1039,50.9115,-0.18,-5.36
2020-01-29 13:30:00,50.9819,51.0878,50.9777,51.0019,170947.0,50.8853,50.8924,51.0597,0.1019,-0.0335,258.8709,0.1056,50.9022,-0.2381,-5.3881
2020-01-29 13:25:00,50.86,50.98,50.86,50.97,123800.0,50.8682,50.878,51.069,-0.0982,-0.0458,126.0649,0.105,50.8938,-0.44,-5.56
